N,ln(N),Observed_Error(%),Predicted_Error(%),Residual(%)
500000,13.12,-40.29,-40.82,0.531
1000000,13.82,-41.43,-41.23,-0.196
2000000,14.51,-41.89,-41.65,-0.243
5000000,15.42,-42.45,-42.19,-0.258
10000000,16.12,-42.73,-42.61,-0.125
50000000,17.73,-43.42,-43.56,0.144
100000000,18.42,-43.83,-43.98,0.147
